loc_id,town,list,rank,site_addr,owner,use_desc,sqft,annual_savings_usd,candidate_occupant,candidate_source,evidence,status,reviewer,reviewer_note
F_747923_2707220,Fall River,comstock,1,181 MARIANO BISHOP BLV,FALL RIVER SHOPPING CENTER NORTH LLC,Shopping Centers / Malls,241575.0,31440.0,,,,pending,,
F_749739_2705689,Fall River,comstock,2,550 WM S CANNING BLV,CEA SOUTHCOAST LLC,Commercial Condo,315368.0,31440.0,,,,pending,,
F_750182_2722682,Fall River,comstock,3,1082 DAVOL ST,MECHANICS MILL ONE LLC,Commercial Condo,123183.0,31278.0,,,,pending,,
F_759553_2734602,Fall River,comstock,4,4077 NO MAIN ST,"FALL RIVER R K, LLC",Shopping Centers / Malls,106155.0,30546.0,,,,pending,,
F_757373_2721827,Fall River,comstock,5,367 RAY ST,FALL RIVER CITY OF,"Improved, Education (Municipal or County)",673752.0,28123.0,,,,pending,,
F_758173_2720500,Fall River,comstock,6,1708 PRESIDENT AVE,PRESIDENT AVE PLAZA INC,Shopping Centers / Malls,84965.0,27160.0,,,,pending,,
F_584819_2928158,Worcester,comstock,2,385 PLANTATION ST,WORCESTER CITY CAMPUS CORP,DCAM State Office Buildings,491632.0,24162.0,,,,pending,,
F_561233_2910066,Worcester,comstock,4,70 JAMES ST,M + I REALTY INC,Shopping Centers / Malls,203402.0,23077.0,,,,pending,,
F_576161_2927640,Worcester,modeled,2,40 CRESCENT ST,40-88 CRESCENT STREET INDUSTRIAL LLC,Auto Repair Facilities,248768.0,22991.0,,,,pending,,
F_759886_2724191,Fall River,modeled,1,777 ELSBREE ST,COMMONWEALTH OF MASS,"DOE: UMass, State and Community Colleges",474519.0,22698.0,,,,pending,,
F_575017_2922610,Worcester,comstock,5,225 MAIN ST,COMM OF MASS CAPITAL ASSET MNG,DCAM State Office Buildings,381890.0,22106.0,,,,pending,,
F_754351_2713976,Fall River,comstock,7,933 PLEASANT ST,LINEAR RETAIL FALL RIVER#1 LLC,Shopping Centers / Malls,63491.0,21650.0,,,,pending,,
F_751846_2721791,Fall River,comstock,8,1135 NO MAIN ST,FALL RIVER CITY OF,"Improved, Education (Municipal or County)",274117.0,21008.0,,,,pending,,
F_575129_2920980,Worcester,comstock,7,90 FRONT ST,FRONT STREET ASSOCIATES LLC,General Office Buildings,328517.0,20787.0,,,,pending,,
F_581330_2932771,Worcester,comstock,8,490 LINCOLN ST,"COUNTRY CLUB PLAZA ASSOC,LLC",Shopping Centers / Malls,170271.0,20490.0,,,,pending,,
F_752897_2719458,Fall River,comstock,9,275-363 HIGHLAND AVE,CHARLTON MEMORIAL HOSPITAL INC,Hospitals (Charitable Org),699220.0,20424.0,,,,pending,,
F_574072_2921923,Worcester,comstock,9,18 CHESTNUT ST,CHESTNUT STREET PROPERTIES LLC,General Office Buildings,299204.0,20047.0,,,,pending,,
