town_id,town,elec,fetched_on
1,ABINGTON,National Grid (Massachusetts Electric),2026-09-15
2,ACTON,Eversource Energy (NSTAR Electric),2026-09-15
3,ACUSHNET,Eversource Energy (NSTAR Electric),2026-09-15
4,ADAMS,National Grid (Massachusetts Electric),2026-09-15
5,AGAWAM,Eversource Energy (NSTAR Electric),2026-09-15
6,ALFORD,National Grid (Massachusetts Electric),2026-09-15
7,AMESBURY,National Grid (Massachusetts Electric),2026-09-15
8,AMHERST,Eversource Energy (NSTAR Electric),2026-09-15
9,ANDOVER,National Grid (Massachusetts Electric),2026-09-15
10,ARLINGTON,Eversource Energy (NSTAR Electric),2026-09-15
11,ASHBURNHAM,Ashburnham Municipal Light Plant,2026-09-15
12,ASHBY,Unitil (Fitchburg Gas & Electric),2026-09-15
13,ASHFIELD,Eversource Energy (NSTAR Electric),2026-09-15
14,ASHLAND,Eversource Energy (NSTAR Electric),2026-09-15
15,ATHOL,National Grid (Massachusetts Electric),2026-09-15
16,ATTLEBORO,National Grid (Massachusetts Electric),2026-09-15
17,AUBURN,National Grid (Massachusetts Electric),2026-09-15
18,AVON,National Grid (Massachusetts Electric),2026-09-15
19,AYER,National Grid (Massachusetts Electric),2026-09-15
20,BARNSTABLE,Eversource Energy (NSTAR Electric),2026-09-15
21,BARRE,National Grid (Massachusetts Electric),2026-09-15
22,BECKET,Eversource Energy (NSTAR Electric),2026-09-15
23,BEDFORD,Eversource Energy (NSTAR Electric),2026-09-15
24,BELCHERTOWN,National Grid (Massachusetts Electric),2026-09-15
25,BELLINGHAM,"Eversource Energy (NSTAR Electric), National Grid (Massachusetts Electric)",2026-09-15
26,BELMONT,Belmont Municipal Light Department,2026-09-15
27,BERKLEY,Taunton Municipal Lighting Plant,2026-09-15
28,BERLIN,National Grid (Massachusetts Electric),2026-09-15
29,BERNARDSTON,Eversource Energy (NSTAR Electric),2026-09-15
30,BEVERLY,National Grid (Massachusetts Electric),2026-09-15
31,BILLERICA,National Grid (Massachusetts Electric),2026-09-15
32,BLACKSTONE,National Grid (Massachusetts Electric),2026-09-15
33,BLANDFORD,Eversource Energy (NSTAR Electric),2026-09-15
34,BOLTON,National Grid (Massachusetts Electric),2026-09-15
35,BOSTON,Eversource Energy (NSTAR Electric),2026-09-15
36,BOURNE,Eversource Energy (NSTAR Electric),2026-09-15
37,BOXBOROUGH,Littleton Electric Light & Water Department,2026-09-15
38,BOXFORD,National Grid (Massachusetts Electric),2026-09-15
39,BOYLSTON,Boylston Municipal Light Department,2026-09-15
40,BRAINTREE,Braintree Electric Light Department,2026-09-15
41,BREWSTER,Eversource Energy (NSTAR Electric),2026-09-15
42,BRIDGEWATER,National Grid (Massachusetts Electric),2026-09-15
43,BRIMFIELD,National Grid (Massachusetts Electric),2026-09-15
44,BROCKTON,National Grid (Massachusetts Electric),2026-09-15
45,BROOKFIELD,National Grid (Massachusetts Electric),2026-09-15
46,BROOKLINE,Eversource Energy (NSTAR Electric),2026-09-15
47,BUCKLAND,Eversource Energy (NSTAR Electric),2026-09-15
48,BURLINGTON,Eversource Energy (NSTAR Electric),2026-09-15
49,CAMBRIDGE,Eversource Energy (NSTAR Electric),2026-09-15
50,CANTON,Eversource Energy (NSTAR Electric),2026-09-15
51,CARLISLE,Eversource Energy (NSTAR Electric),2026-09-15
52,CARVER,Eversource Energy (NSTAR Electric),2026-09-15
53,CHARLEMONT,National Grid (Massachusetts Electric),2026-09-15
54,CHARLTON,National Grid (Massachusetts Electric),2026-09-15
55,CHATHAM,Eversource Energy (NSTAR Electric),2026-09-15
56,CHELMSFORD,National Grid (Massachusetts Electric),2026-09-15
57,CHELSEA,Eversource Energy (NSTAR Electric),2026-09-15
58,CHESHIRE,"Eversource Energy (NSTAR Electric), National Grid (Massachusetts Electric)",2026-09-15
59,CHESTER,"Chester Municipal Electric Light Department, Eversource Energy (NSTAR Electric)",2026-09-15
60,CHESTERFIELD,Eversource Energy (NSTAR Electric),2026-09-15
61,CHICOPEE,"Chicopee Municipal Lighting Plant, Eversource Energy (NSTAR Electric)",2026-09-15
62,CHILMARK,Eversource Energy (NSTAR Electric),2026-09-15
63,CLARKSBURG,National Grid (Massachusetts Electric),2026-09-15
64,CLINTON,National Grid (Massachusetts Electric),2026-09-15
65,COHASSET,National Grid (Massachusetts Electric),2026-09-15
66,COLRAIN,Eversource Energy (NSTAR Electric),2026-09-15
67,CONCORD,Concord Municipal Light Plant,2026-09-15
68,CONWAY,Eversource Energy (NSTAR Electric),2026-09-15
69,CUMMINGTON,Eversource Energy (NSTAR Electric),2026-09-15
